Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.241,3.669378065649295e-05,160.87459304062514,196550.42366147158,4.5930170693e-314,0.2989936851638258,0.3913956179553858,0.08299624432259206
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.139,3.705899564411964e-05,162.95571630471522,201458.642064757,4.7961746494e-314,0.3094797680581286,0.4012396364058814,0.08813717487443751
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.038,3.641298391257912e-05,163.0387946049884,204253.24022302782,4.4368186956e-314,0.309898371779693,0.40684453691587585,0.08939911972042577
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.937,3.630152710292075e-05,164.23734356597643,207584.25649986224,4.374818787e-314,0.31593745844729415,0.4135252880548451,0.09265902979027851
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.835,3.594026777799066e-05,164.56041567075027,209641.9370537334,4.173861617e-314,0.31756531054522197,0.4176522122609837,0.09403220583246508
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.734,3.525203023169521e-05,164.6656036388742,212325.92477335274,3.791016774e-314,0.31809531747574027,0.4230352703203298,0.09533202548374461
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.633,3.5008723930783423e-05,165.1165411550612,214074.55693123266,3.6556731514e-314,0.32036744054335475,0.42654236104265325,0.09680224492111025
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.532,3.426188915207239e-05,164.77267051393721,215944.16009981648,3.240232516e-314,0.31863479158883934,0.430292073580776,0.09705188235204251
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.43,3.3996350725943965e-05,165.14586076108563,217494.40964659202,3.092521863e-314,0.32051517221523856,0.43340128427342073,0.09832415611254464
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.329,3.37277639638828e-05,165.60022851015074,219664.62761353387,2.9431155176e-314,0.32280457907710347,0.4377539157076438,0.10000852081591671
