Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.722,3602.2608312959123,217.2761041015664,45102.47243557439,1.0862745151563932e-17,0.854527949908901,0.12969208771649365,0.3693140179918203
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.62,1.3374074039342878,197.34777446999504,82377.27784501002,4.032908730625167e-21,0.6996577070979755,0.23910266939276015,0.25905297517848414
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.519,7940.856781063007,218.04051401525027,67992.7667893376,2.3945935047761018e-17,0.8604684552662466,0.19688064557687154,0.37989347840483173
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.418,85856.27038234999,218.29039152878954,33964.843572777165,2.5890262697965147e-16,0.8624103436186709,0.09700044951777209,0.37422807219189946
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.316,13533011.91429406,220.32492627508066,82940.10347670582,4.080927719284807e-14,0.8782214475089934,0.24075469893576515,0.4001271616973086
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.215,80793206.27887274,220.99751691765044,68794.216121885,2.43634777773087e-13,0.8834483921678231,0.1992330934755229,0.4001639871959125
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.114,41023934773510.31,221.43573109397207,49349.32740000977,1.2370912966897757e-07,0.8868539127079191,0.1421576356073485,0.3983071295830445
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-10.013,617751093358987.8,221.45306275273236,59337.32444672218,1.862850322218385e-06,0.8869886032841062,0.1714748259899175,0.40072529516588046
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.911,10.9674786396677,201.06090970085535,26519.373059984966,3.307272994231673e-20,0.7285138212542824,0.07514619030138793,0.2667779313584614
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.81,367604.238462101,219.79205877480587,65320.99375764276,1.1085236131083412e-15,0.8740803418228015,0.18903834463676528,0.39094209591628487
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.709,11236.16201742106,217.438769666514,40117.98101604475,3.388304481146682e-17,0.8557920827291701,0.11506139817752031,0.3694998257686068
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.608,6344723.195386287,220.70503109694675,35089.40871640762,1.9132737725463403e-14,0.8811753792807133,0.1003013205792295,0.39075011325273884
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.506,0.4339588936331656,189.97526598493766,77655.55366159248,1.3085277192197433e-21,0.6423632825117029,0.2252432653328845,0.21899892550406
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.405,3.316160649038811e+20,192.83774739953714,78850.88763581504,1.0,0.6646086588135113,0.22875186005203998,0.48393418805426414
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.304,197193194.51219738,221.20483687244302,57109.551050353584,5.946430688432532e-13,0.8850595503698337,0.16493577151431987,0.3984661560316821
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.203,32210837.52972922,235.98138347143356,233970.2165225363,9.713292249286973e-14,0.9998934276691714,0.6840646595772684,0.6168795479686433
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.101,16.725081133533696,235.98737549663332,261372.95873674337,5.043498437813496e-20,0.9999399938598543,0.7644983448037576,0.646054425462144
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-9.0,78286654514.78368,235.99509694214174,98849.85296518229,2.3607618206758175e-10,1.0,0.2874536669582048,0.5206574026619296
