Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.557,3.657583539572335e-05,164.491878281782,205050.79020785558,3.274242543e-314,0.2844205846254237,0.4081166540431117,0.08208733530617013
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.456,3.635482466528774e-05,164.99875953890597,207226.32382243694,3.1513012433e-314,0.28709727875296354,0.41248236201007843,0.08374784847603177
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.354,3.629880678474447e-05,165.60348397507204,208923.83245763485,3.120140263e-314,0.29029065456695546,0.41588880304275555,0.0853752061885397
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.253,3.583287372324101e-05,165.5441262602356,210848.97596672122,2.860956394e-314,0.28997720354762135,0.4197520457427723,0.0860913342649599
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.152,3.589027999811475e-05,166.25751077731297,212454.94488332403,2.892889695e-314,0.2937443819956337,0.42297479130134324,0.0878697994961021
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.051,3.58298708473498e-05,166.97028757905196,214156.57062408453,2.8592859894e-314,0.2975083512737376,0.426389494252124,0.08970760974095435
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.949,3.616832585971922e-05,168.26174504314687,216445.03725537096,3.0475578395e-314,0.3043281666871626,0.43098182826037934,0.0927441505922495
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.848,3.569493426153481e-05,168.18158349518245,217079.53347512888,2.7842250217e-314,0.3039048566087661,0.43225509068346557,0.0928901967906401
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.747,3.5571161623313395e-05,168.43047214337852,219086.87548145975,2.715374206e-314,0.3052191659734835,0.4362832835510586,0.09416514551529778
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.646,3.494742122629349e-05,168.01331501127436,219184.46213478537,2.3684070936e-314,0.3030162791433408,0.4364791135888194,0.0935379368627579
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.544,3.4562641108968165e-05,167.94339379385343,220324.32393589368,2.154366048e-314,0.3026470453051773,0.43876650814479695,0.09392662918337155
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.443,3.409500750212677e-05,167.73555962754858,221143.62935173954,1.89423622e-314,0.3015495328510637,0.44041063267468866,0.09395644172457726
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.342,3.401999303233251e-05,168.2964428389879,223233.64856342677,1.8525080357e-314,0.3045113957670722,0.44460473634765457,0.0957819379716971
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.241,3.3535497673607264e-05,167.89317372758663,223886.84689281994,1.5829985465e-314,0.30238184757973025,0.4459155288500218,0.09542755559026425
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.139,3.337638700251927e-05,168.00360760191253,224395.72725615423,1.4944902977e-314,0.30296501710658713,0.4469367142003888,0.09583200742025733
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-12.038,3.328144047284818e-05,168.67063904845304,226271.33647728027,1.4416745374e-314,0.30648741832136056,0.45070055497246614,0.09775001635776857
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-11.937,3.294341067107828e-05,168.41578733378802,226786.87270517883,1.2536392187e-314,0.30514161971774306,0.451735096844084,0.09757185347216736
